Id,questionId,isCorrect,Answer
145,48,t,"Русский писатель, общепризнанный классик мировой литературы, по профессии врач, почётный академик Императорской Академии наук по Разряду изящной словесности, один из самых известных драматургов мира"
146,49,f,Сикорский Игорь Иванович
147,49,t,Попов Александр Степанович
148,49,f,Королев Сергей Павлович
149,50,f,Московский художественный театр им. А. П. Чехова
150,50,t,Большой театр (Государственный дважды ордена Ленина академический Большой театр Российской Федерации)
151,50,f,Театр имени Вахтангова
152,51,f,Бархотная революция
153,51,f,Цветочная революция
154,51,t,Великая Октябрьская социалистическая революция
155,52,t,Николай II
156,52,f,Николай I
157,52,f,Александр III
158,53,f,Либеральная демократическая партия России
159,53,t,Российская социал-демократическая рабочая партия (большевиков)
160,53,f,Единая Россия
161,54,t,СССР - Союз Советских Социалистических Республик
162,54,f,РСФСР - Российская Социалистическая Федеративная Советская Республика
163,54,f,США - Соединенные Штаты Америки
164,55,f,Хрущеве Н.С.
165,55,t,Ленине В.И.
166,55,f,Сталине И.В.
167,56,f,Политика монополизации
168,56,f,Политика машиностроения
169,56,t,Политика индустриализации
170,57,f,Новейшая экономическая политика (НЭП)
171,57,t,Политика коллективизации
172,57,f,Политика культуры сельского хозяйства
173,58,t,Меньше стало безграмотных людей
174,58,f,Больше стало профессоров
175,58,f,Больше стало людей с высшим образованием
176,59,f,1914г.-1918г.
177,59,f,1922г.-1925г.
178,59,t,1941г.-1945г.
179,60,f,"Италия, Япония"
180,60,t,"США, Великобритания туда входили также Монгольская Народная Республика и Тувинская Народная Республика"
181,60,f,"Румыния, Финляндия"
182,61,t,Сталинградская битва
183,61,f,Битва под Москвой
184,61,f,Курская битва
185,62,t,"Советскими военноначальниками, полководцы Великой Отечественной Войны, маршалами Советского Союза"
186,62,f,Известными Советскими писателями-драматургами
187,62,f,Советскими композиторами написавшими известные музыкальные произведения во всем мире
188,63,f,Великобритания
189,63,f,Германия
190,63,t,Союз Советских Социалистических Республик (СССР)
191,64,t,В Берлине
192,64,f,В Москве
193,64,f,В Лондоне
194,65,f,1 миллион человек
195,65,t,"26,6 миллиона человек"
196,65,f,22 миллиона человек
197,66,f,Международный женский день
198,66,f,Новый год
199,66,t,День Победы
200,67,t,В 1954 году по инициативе Хрущева Никиты Сергеевича
201,67,f,В 1968 году по инициативе Брежнева Леонида Ильича
202,67,f,В 1991 году по инициативе Горбачева Михаила Сергеевича
203,68,f,Циолковский
204,68,t,Королев Сергей Павлович
205,68,f,Гагарин Юрий Алексеевич
206,69,f,Титов Герман Степанович
207,69,t,Гагарин Юрий Алексеевич
208,69,f,Леонов Алексей Архипович
209,70,t,12 апреля 1961 года
210,70,f,9 мая 1945 года
211,70,f,7 ноября 1978 года
212,71,t,Терешкова Валентина Владимировна
213,71,f,Серова Елена Олеговна
214,71,f,Фурцева Екатерина Алексеевна
215,72,f,Универсиада
216,72,f,Чемпионат мира по хоккею
217,72,t,Летние Олимпийские игры
218,73,t,"Перестройка, гласность"
219,73,f,Военная и экономическая реформа
220,73,f,Культурная и семейная реформа
221,74,f,Ельцин Борис Николаевич
222,74,t,Горбачев Михаил Сергеевич
223,74,f,Путин Владимир Владимирович
224,75,f,16
225,75,t,15
226,75,f,14
227,76,f,1990г.
228,76,f,1992г.
229,76,t,1991г.
230,77,t,Содружество независимых Государств (СНГ)
231,77,f,Единое содружество Государств (ЕСГ)
232,77,f,Евразийское Государственное содружество (ЕГС)
233,78,f,"Советский и российский музыкант, дирижер, композитор"
234,78,t,"Советский и российский писатель, драматург, публицист, поэт, общественный и политический деятель"
235,78,f,"Известный советский и российский ученый, профессор, изобретатель"
236,79,t,12 июня 1990 года
237,79,f,12 декабря 1993 года
238,79,f,7 ноября 1917 года
239,80,f,Путин Владимир Владимирович
240,80,t,Ельцин Борис Николаевич
241,80,f,Медведев Дмитрий Анатольевич
242,81,t,Реформы преобразования в экономике и системе государственного управления
243,81,f,Реформы преобразования в театральной деятельности и кинематографии
244,81,f,Реформы преобразования в космической деятельности и авиастроения
245,82,f,12 июня 1990 года
246,82,t,12 декабря 1993 года
247,82,f,7 ноября 1917 года
248,83,f,Однонациональным государством
249,83,t,Многонациональным государством
250,83,f,
251,84,f,Украинский
252,84,t,Русский
253,84,f,Белорусский
254,85,f,Санкт-Петербург
255,85,f,Екатеринбург
256,85,t,Москва
257,86,t,Красная Площадь
258,86,f,Манежная площадь
259,86,f,Площадь Победы
260,87,t,2000-2014
261,87,f,1991-2000
262,87,f,1980-1990
263,88,f,Медведев Дмитрий Анатольевич
264,88,t,Путин Владимир Владимирович
265,88,f,Лукашенко Александр Григорьевич
266,89,f,Республика Татарстан
267,89,t,Республика Крым
268,89,f,Республика Башкортостан
269,90,f,Патриарх Филарет
270,90,t,Патриарх Кирилл
271,90,f,Патриарх Бенедикт XVI
272,91,f,Центральный совет мусульман России
273,91,f,Центральный комитет мусульман России
274,91,t,Центральное духовное управление мусульман России
275,92,f,В Москве
276,92,f,В Санкт-Петербурге
277,92,t,В Сочи
278,93,t,1 января
279,93,f,1 сентября
280,93,f,1 марта
281,94,f,Новый год
282,94,f,День Конституции
283,94,t,Рождество Христово
284,95,f,Международный женский день
285,95,t,День защитника Отечества
286,95,f,День России
287,96,f,День защитника Отечества
288,96,f,День России
289,96,t,Международный женский день
290,97,f,День защитника Отечества
291,97,t,День России
292,97,f,Международный женский день
293,98,f,День защитника отечества
294,98,f,День России
295,98,t,День народного единства
296,99,t,День Конституции
297,99,f,День защитника Отечества
298,99,f,День России
